,user,churn,age,housing,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,reward_rate,is_referred
83,68171,0,23.0,na,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,0.06,0
84,19878,0,28.0,R,17,1,82,17,0,233,0,0,18,1,1,0,1,0,na,0,0,0,0,Libra,0,0,1.93,0
85,35332,1,29.0,na,0,0,0,0,0,106,0,0,5,1,0,1,0,0,Weekly,0,0,0,0,Scorpio,0,0,0.5700000000000001,0
86,8255,0,43.0,R,3,0,81,3,0,225,0,0,4,1,1,1,1,2,na,0,0,0,0,Aries,0,0,1.97,1
87,51642,0,44.0,na,0,0,4,0,0,0,0,0,0,1,1,1,0,0,Bi-Weekly,0,0,0,0,Taurus,0,0,0.1,0
88,17451,0,33.0,R,0,0,140,0,0,303,0,0,20,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,1,0,2.23,0
89,46324,0,18.0,na,0,0,0,0,0,3,0,0,0,1,1,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,0.0,0
90,60460,1,22.0,na,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Monthly,0,0,0,0,Aries,0,0,0.0,0
91,15712,1,60.0,R,0,0,0,0,0,44,0,0,18,1,1,1,0,0,Monthly,0,0,0,0,Taurus,0,0,0.63,1
92,36751,0,39.0,na,24,1,69,24,0,218,0,0,29,1,1,0,1,0,na,0,0,0,0,Sagittarius,0,0,1.87,1
93,21558,1,35.0,na,0,0,0,0,0,66,0,0,2,1,1,1,0,0,Bi-Weekly,0,0,0,0,Taurus,1,0,0.63,0
94,63715,0,43.0,na,2,1,10,2,0,21,0,0,2,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,0.0,0
95,41909,0,32.0,na,0,0,0,0,0,0,0,0,0,1,1,0,1,0,na,0,0,0,0,Libra,0,0,0.0,0
96,38825,0,26.0,na,0,0,36,0,0,99,0,0,3,1,1,0,1,0,na,0,0,0,0,Pisces,0,0,1.23,0
97,7871,1,26.0,R,1,0,27,1,0,133,0,0,3,1,0,0,1,3,Weekly,0,0,0,0,Leo,0,0,1.33,0
98,22333,0,24.0,R,3,1,82,3,0,177,0,0,13,1,0,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,1.87,0
99,37,1,31.0,R,0,0,0,0,0,115,0,0,5,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,1,0,1.17,0
100,31916,1,25.0,na,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Bi-Weekly,0,0,0,0,Gemini,0,0,0.0,0
101,19314,1,38.0,na,0,0,0,0,0,17,0,0,1,1,0,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,0.4,1
102,63152,0,32.0,na,3,0,7,3,0,10,0,0,0,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aries,0,0,0.5700000000000001,0
103,17599,0,33.0,na,0,0,128,0,0,269,0,0,4,1,1,0,1,0,Bi-Weekly,0,0,0,0,Cancer,1,0,1.97,0
104,14311,0,32.0,R,24,6,36,24,0,116,0,0,21,1,1,1,1,2,Bi-Weekly,0,0,0,0,Scorpio,0,0,0.97,1
105,67046,0,47.0,na,0,0,1,0,0,4,0,0,2,1,0,0,1,0,Bi-Weekly,0,0,0,0,Aries,1,0,0.0,1
106,24305,0,26.0,R,1,0,56,1,0,217,0,0,15,1,0,0,1,2,na,0,0,0,0,Sagittarius,0,0,1.8,1
107,68070,1,26.0,na,0,0,3,0,0,0,0,0,0,1,0,1,0,0,Weekly,0,0,0,0,Taurus,0,0,0.0,1
108,42987,0,26.0,na,0,0,31,0,0,50,0,0,5,1,0,1,0,2,Bi-Weekly,0,0,0,0,na,0,0,0.67,1
109,26916,0,33.0,na,0,0,32,0,0,60,0,0,2,1,0,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,0.8,1
110,7011,1,35.0,na,0,0,102,0,0,136,0,0,8,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aries,0,0,1.17,1
111,67088,1,22.0,na,0,0,2,0,0,0,0,0,0,1,0,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,0.0,0
112,7686,1,27.0,R,0,0,10,0,0,91,0,0,7,1,1,0,1,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,0.8,0
113,14965,0,27.0,na,0,0,7,0,0,11,0,0,1,1,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,0.2,0
114,13910,0,24.0,R,2,2,50,2,0,100,0,0,4,1,0,0,1,0,na,0,0,0,0,Sagittarius,0,0,1.03,1
115,33946,0,21.0,na,0,0,7,0,0,11,0,0,1,1,0,0,1,0,Monthly,0,0,0,0,Sagittarius,0,0,1.0,1
116,23701,0,25.0,R,2,0,22,2,0,15,0,0,2,1,1,0,1,2,Bi-Weekly,0,0,0,0,Scorpio,1,0,0.27,1
117,15150,1,26.0,R,10,1,14,10,0,40,0,0,1,1,0,0,1,0,na,0,0,0,0,Gemini,0,0,0.4,0
118,8987,0,27.0,R,0,0,1,0,0,83,0,0,1,1,0,0,1,0,Weekly,0,0,0,0,Pisces,1,0,1.1,1
119,56648,0,42.0,na,0,0,0,0,0,3,0,0,0,1,1,0,1,0,Bi-Weekly,0,0,0,0,Pisces,0,0,0.0,0
120,67137,0,22.0,na,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,0.0,0
121,41826,1,22.0,R,9,2,107,9,0,170,0,0,32,1,1,0,1,0,Bi-Weekly,0,0,0,0,Virgo,0,0,1.3,1
122,67621,1,36.0,na,0,0,0,0,2,23,0,0,2,1,1,1,0,2,Weekly,0,0,0,0,Cancer,0,0,0.7,0
123,5250,0,52.0,na,0,0,40,0,0,70,0,0,6,1,1,1,0,0,Semi-Monthly,0,0,0,0,Aries,0,0,0.93,0
124,53449,1,27.0,na,0,0,12,0,0,26,0,0,2,1,1,1,0,0,Weekly,0,0,0,0,Gemini,1,0,0.4400000000000001,0
125,27912,0,25.0,na,0,0,25,0,0,41,0,0,4,1,1,0,1,0,na,0,0,0,0,Scorpio,0,0,0.4,1
126,19625,0,32.0,na,0,0,23,0,0,50,0,0,1,1,0,1,0,0,Bi-Weekly,0,0,0,0,Libra,0,0,0.37,0
127,30614,0,30.0,na,41,0,27,41,0,207,0,0,4,1,1,0,1,0,Weekly,0,0,0,0,Gemini,0,0,1.87,1
128,18574,1,23.0,R,6,4,59,6,0,159,0,0,11,1,1,0,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,1.86,1
129,26736,0,26.0,R,5,1,93,5,0,252,0,0,11,1,0,0,1,0,na,0,0,0,0,Aries,0,0,2.17,1
130,39733,1,29.0,R,0,0,0,0,0,177,1,0,28,1,0,0,1,0,Weekly,0,0,0,0,Sagittarius,0,0,1.7,0
131,477,0,36.0,na,0,0,2,0,0,17,0,0,2,1,0,0,1,2,na,0,0,0,0,Capricorn,0,0,0.4,0
132,49664,1,26.0,R,3,0,38,3,0,84,0,0,7,1,0,0,1,0,na,0,0,0,0,Virgo,0,0,1.0,1
133,21189,0,20.0,R,1,0,72,1,0,140,0,0,18,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,0,0,1.03,1
134,43289,0,32.0,na,6,0,24,6,0,45,0,0,9,1,1,0,1,0,na,0,0,0,0,Aquarius,0,0,0.58,0
135,30329,1,45.0,R,0,0,0,0,0,0,0,0,0,1,1,1,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,0.1,0
136,6111,0,25.0,O,0,0,67,0,0,250,0,0,10,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,1,0,2.03,0
137,35351,0,35.0,R,15,0,3,15,1,300,0,0,34,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,2.17,0
138,7050,0,28.0,O,0,0,90,0,0,195,0,0,2,1,0,0,1,0,Semi-Monthly,0,0,0,0,Aries,0,0,1.83,1
139,11691,1,22.0,na,0,0,0,0,0,128,0,0,4,1,1,1,0,2,Bi-Weekly,0,0,1,0,Aries,0,0,1.5699999999999998,0
140,38853,0,28.0,na,59,0,63,55,0,255,0,0,21,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,2.23,0
141,55927,0,20.0,na,0,0,5,0,0,4,0,0,0,1,0,0,1,0,Semi-Monthly,0,0,0,0,Taurus,0,0,0.27,1
142,34187,1,30.0,R,0,0,34,0,0,59,0,0,2,1,0,0,1,2,Weekly,0,0,0,0,Pisces,0,0,0.63,1
143,45320,0,40.0,O,8,0,52,8,0,294,0,0,38,1,1,1,0,0,na,0,0,0,0,Sagittarius,1,0,2.23,0
144,32233,0,31.0,O,0,0,0,0,0,104,0,0,5,1,0,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,1.4,0
145,30417,1,27.0,O,1,0,13,1,0,27,0,0,0,1,0,0,1,0,Bi-Weekly,0,0,0,0,na,0,0,0.16999999999999998,1
146,15592,1,36.0,R,0,0,0,0,0,235,0,1,9,1,1,1,1,2,Bi-Weekly,0,0,0,0,Sagittarius,0,0,2.13,0
147,68714,0,36.0,R,0,0,8,0,0,16,0,0,0,1,1,1,0,2,Bi-Weekly,0,0,0,0,Cancer,0,0,0.13,0
148,51721,1,30.0,R,2,0,62,2,0,99,0,0,16,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,0.63,1
149,3801,0,42.0,R,2,0,47,2,0,280,0,0,24,1,1,1,0,2,na,0,0,0,0,Virgo,1,0,1.87,1
150,65867,0,72.0,na,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Monthly,0,0,0,0,Leo,0,0,0.0,0
151,50736,1,23.0,na,0,0,12,0,0,11,0,0,1,1,0,0,1,2,Bi-Weekly,0,0,0,0,Aries,0,0,0.4,1
152,35050,1,39.0,R,8,3,76,8,0,163,0,0,12,1,0,1,0,0,Weekly,0,0,0,0,Pisces,0,0,0.53,1
153,3897,1,38.0,R,0,0,0,0,0,20,0,0,9,1,1,1,0,0,Monthly,0,0,0,0,Aries,0,0,0.77,0
154,34000,1,38.0,na,0,0,0,0,0,22,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Pisces,0,0,0.5700000000000001,0
155,4993,0,37.0,R,0,0,0,0,1,236,4,1,19,1,1,1,1,2,Bi-Weekly,0,0,0,0,Cancer,0,0,2.1,0
156,51830,1,26.0,na,0,0,0,0,0,38,0,0,5,1,0,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,1,0,0.47,0
157,24606,0,20.0,na,0,0,47,0,0,148,0,0,11,1,0,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,1.13,0
158,47068,1,56.0,na,1,0,37,1,0,81,0,0,5,1,1,1,0,2,Weekly,0,0,0,0,Aries,1,0,0.53,1
159,33385,1,29.0,na,11,2,99,11,0,191,0,0,11,1,1,1,0,2,na,0,0,0,0,Aquarius,0,0,1.03,0
160,13611,0,19.0,R,1,0,102,1,0,219,0,0,9,1,1,1,1,5,na,0,0,0,0,na,0,0,1.93,1
161,59843,1,48.0,na,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Weekly,0,0,0,0,Aquarius,1,0,0.0,0
162,41052,1,39.0,na,2,0,1,2,0,82,0,0,9,1,0,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,1,0,0.47,1
163,45195,1,54.0,O,0,0,0,0,1,11,0,0,7,1,1,1,0,2,Monthly,0,0,0,0,Virgo,0,0,2.0,0
164,45396,0,39.0,na,0,0,7,0,0,36,0,0,9,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,0.73,0
165,40888,0,24.0,na,0,0,35,0,0,57,0,0,2,1,0,1,0,3,Bi-Weekly,0,0,0,0,Virgo,1,0,0.83,0
166,14403,1,39.0,na,0,0,0,0,0,201,0,0,5,1,0,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,2.5,0
167,22597,0,29.0,R,7,2,52,7,0,71,0,0,12,1,1,0,1,0,Semi-Monthly,0,0,0,0,na,1,0,0.73,0
168,42157,0,21.0,na,0,0,0,0,0,54,0,0,5,1,0,0,1,0,Semi-Monthly,0,0,0,0,Libra,0,0,0.5,0
169,48917,1,48.0,R,0,0,0,0,0,82,0,0,6,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,1,0,1.3,1
170,31150,1,32.0,R,0,0,0,0,0,134,0,0,4,1,1,0,1,0,na,0,0,0,0,Leo,0,0,1.37,0
171,17918,1,41.0,R,0,0,0,0,0,55,0,0,9,1,1,1,0,2,Bi-Weekly,0,0,0,0,Libra,0,0,0.8,0
172,20243,1,42.0,R,21,3,31,21,0,60,0,0,15,1,1,1,1,2,Weekly,0,0,0,0,Capricorn,0,0,0.8,1
173,42283,0,29.0,O,0,0,0,0,0,180,0,0,16,1,1,1,0,0,Weekly,0,0,1,0,Cancer,0,0,2.27,0
174,52613,0,21.0,na,0,0,0,0,0,1,0,0,0,1,1,0,1,0,na,0,0,0,0,Scorpio,0,0,0.0,0
175,9622,0,25.0,na,0,0,27,0,0,65,0,0,1,1,1,0,1,2,Bi-Weekly,0,0,0,0,Scorpio,1,0,0.5700000000000001,1
176,32820,1,39.0,R,12,1,8,12,2,147,65,0,24,1,1,1,0,0,Weekly,0,0,0,0,Virgo,0,0,1.47,1
177,725,0,40.0,R,3,0,148,3,0,269,0,0,17,1,0,1,0,0,Weekly,0,0,0,0,na,0,0,2.13,0
178,46856,0,22.0,R,6,1,198,6,0,301,0,0,61,1,1,0,1,0,Bi-Weekly,0,0,0,0,Libra,1,0,2.17,0
179,64047,0,34.0,na,0,0,9,0,0,5,0,0,0,1,1,0,1,0,Semi-Monthly,0,0,0,0,Sagittarius,0,0,0.13,0
180,61439,0,21.0,R,0,0,5,0,0,0,0,0,0,1,1,1,0,0,Bi-Weekly,0,0,0,0,na,1,0,0.1,0
181,27152,0,52.0,na,1,1,24,1,0,78,0,0,8,1,0,1,0,2,Bi-Weekly,0,0,0,0,Gemini,0,0,0.77,0
182,2572,0,27.0,R,0,0,172,0,0,217,0,0,10,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aries,0,1,1.4300000000000002,1
183,64314,0,52.0,na,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,0.0,0
184,3599,1,36.0,na,0,0,4,0,0,1,0,0,0,1,0,1,0,0,Bi-Weekly,0,0,0,0,Gemini,1,0,0.13,0
185,51797,0,23.0,na,2,0,15,2,0,10,0,0,4,1,0,0,1,3,Monthly,0,0,0,0,Sagittarius,0,0,0.1,0
186,56605,1,28.0,R,8,0,20,8,0,51,0,0,1,1,1,1,0,0,Weekly,0,0,0,0,Libra,1,0,0.53,1
187,32867,0,57.0,O,54,0,69,54,0,249,0,0,36,1,1,1,0,0,Weekly,0,0,0,0,Sagittarius,0,0,2.1,0
188,50443,0,50.0,na,5,0,71,5,0,136,0,0,5,1,0,0,1,2,Bi-Weekly,0,0,0,0,Capricorn,0,0,1.0,1
189,42188,1,29.0,na,1,1,12,1,0,31,0,0,4,1,1,1,0,3,Weekly,0,0,0,0,na,1,0,0.06999999999999999,0
190,29143,1,37.0,O,4,0,17,4,0,145,0,0,11,1,0,1,0,0,Bi-Weekly,0,0,1,0,Taurus,0,0,1.4,0
